organisms,counts
Nocardia exalbida,2
Streptomyces sp. ADI92-24,3
Amnibacterium kyonggiense,2
Pseudarthrobacter sp. C4D7,3
Rhodococcus pyridinivorans SB3094,3
Corynebacterium sp. HMSC11H10,3
Micromonospora pisi,2
Nonomuraea candida,2
Nocardiopsis sp. TNDT3,3
Leifsonia sp. ZF2019,3
Cellulomonadaceae bacterium,2
Tsukamurella sp. M9C,3
Arsenicicoccus sp. oral taxon 190,5
Actinopolyspora halophila,2
Streptomyces viridosporus,2
uncultured Blastococcus sp.,3
Nocardioides sp. S-1144,3
Streptomyces sp. SID89,3
Mycobacterium sp. MYCO198283,3
Frankia sp. EUN1h,3
Pseudoclavibacter helvolus,2
Qaidamihabitans albus,2
Streptomyces roseolilacinus,2
Streptomyces sp. SID14515,3
Actinotalea sp. JY-7885,3
Bifidobacteriales bacterium 56_10,3
Corynebacterium sp. CCUG 69979,4
Micromonospora viridifaciens,2
Streptomyces sp. S9,3
Naasia lichenicola,2
Corynebacterium sp. LK26,3
Streptomyces griseostramineus,2
Corynebacterium propinquum,2
Curtobacterium sp. MCPF17_002,3
Mycobacterium tuberculosis str. Haarlem/NITR202,4
Mycolicibacterium sp. NGTWSNA01,3
Streptomyces sp. WM6368,3
Microbacterium hydrothermale,2
Streptomyces paromomycinus,2
Streptomyces sp. BHT-5-2,3
Arthrobacter alpinus,2
Modestobacter caceresii,2
Kribbella speibonae,2
Streptomyces sp. NRRL S-920,4
Microbacterium sp. LCT-H2,3
Nocardioides sp. R-C-SC26,3
Rhizocola hellebori,2
Streptomyces sp. WM6349,3
Mycobacterium intermedium,2
Streptomyces sp. CoT10,3
Kocuria rosea,2
Corynebacterium sp. HMSC056F09,3
Nocardioides guangzhouensis,2
Bifidobacterium leontopitheci,2
Arthrobacter psychrolactophilus,2
Amycolatopsis sp. WAC 01376,4
Isoptericola sp. NEAU-Y5,3
Actinoplanes sp. TRM66264-DLM,3
Arthrobacter sp. ERGS1:01,3
Streptomyces sp. SID12488,3
Bifidobacterium parmae,2
Kribbella jejuensis,2
Kribbella soli,2
Mumia sp. zg.B17,3
Micromonospora sp. STR1s_6,3
Micromonospora sp. WMMB482,3
Mycobacterium sp. E188,3
Arthrobacter sp. B1805,3
Streptomyces caeruleatus,2
Arthrobacter sp. MA-N2,3
Saccharopolyspora hirsuta,2
Streptomyces sp. WAC 01529,4
Rathayibacter sp. PhB1,3
Streptomyces sp. IB2014 011-1,4
Corynebacterium sp. TAE3-ERU30,3
Aeromicrobium sp. 50.2.37,3
Arthrobacter cryoconiti,2
Rhodococcus sp. ACPA1,3
Paenarthrobacter sp. A20,3
Pseudactinotalea terrae,2
Leucobacter sp. OH1287,3
Rathayibacter tanaceti,2
Microbispora hainanensis,2
Boudabousia liubingyangii,2
Frankia sp. AiPs1,3
Streptomyces sp. AA8,3
Corynebacterium sp. HMSC06C06,3
Agromyces bracchium,2
Nesterenkonia lutea,2
Streptomyces sp. BK239,3
Streptomyces sp. MNU76,3
Streptomyces sp. SID13666,3
Intrasporangium oryzae,2
Arthrobacter sp. zg-Y786,3
Streptomyces iranensis,2
Labedella populi,2
Mycolicibacter minnesotensis,2
Mycolicibacterium phocaicum,2
Georgenia sp. TF02-10,3
Varibaculum massiliense,2
Catellatospora citrea,2
Aeromicrobium flavum,2
Demequina activiva,2
Mycolicibacterium sp. 3033,3
Mycolicibacterium sp. P1-18,3
Mumia xiangluensis,2
Cutibacterium modestum 30N,3
Mycobacterium sp. 852002-51152_SCH6134967,3
Gulosibacter faecalis,2
Streptomyces scopuliridis RB72,3
Microbacterium murale,2
Nocardia lijiangensis,2
Sphaerisporangium krabiense,2
Pseudoclavibacter sp. 13-3,3
Mycobacterium avium subsp. avium 10-9275,5
Streptomyces sp. DH8,3
Frigoribacterium sp. ACAM 257,4
Streptomyces sp. GC420,3
Dactylosporangium siamense,2
Phytomonospora endophytica,2
Microbacterium esteraromaticum,2
Janibacter terrae,2
Brevibacterium sp. W7.2,3
Kribbella aluminosa,2
Frigoribacterium sp. CFBP 8766,4
Streptomyces sp. MSC1_001,3
Streptomyces sviceus ATCC 29083,4
Micromonospora parva,2
Cryobacterium roopkundense,2
Corynebacterium sp. Marseille-P4321,3
Microbacterium stercoris,2
Streptomyces sp. SID9727,3
Actinospica durhamensis,2
Agromyces cerinus,2
Cellulomonas sp. KRMCY2,3
Aeromicrobium sp. zg-636,3
Geodermatophilus bullaregiensis,2
Microbacterium sp. Bi128,3
Gordonia araii,2
Brachybacterium muris,2
Micromonospora sp. U21,3
Actinocatenispora sera,2
Curtobacterium sp. ODYSSEY 48 V2,5
Streptomyces sp. WAC05858,3
Candidatus Brachybacterium merdigallinarum,3
Micromonospora sp. D93,3
Microbacterium sp. BH-3-3-3,3
Aeromicrobium sp. zg.Y1379,3
Microbacterium maritypicum,2
Micromonospora inositola,2
Saccharomonospora glauca K62,3
Nocardia pneumoniae,2
Nesterenkonia sp. Act20,3
Knoellia aerolata,2
Cryobacterium sp. N22,3
Citricoccus sp. CH26A,3
Rhodococcus sp. SGAir0479,3
Naumannella cuiyingiana,2
Brevibacterium sp. UCMA 11752,4
Arthrobacter deserti,2
Arthrobacter sp. NicSoilC12,3
Bifidobacterium bifidum,2
Streptomyces sp. A 4/2,4
Kocuria tytonis,2
Amycolatopsis ruanii,2
Streptomyces griseoluteus,2
Cryobacterium aureum,2
Micromonospora pallida,2
Streptoalloteichus tenebrarius,2
Acrocarpospora catenulata,2
Mycolicibacterium hippocampi,2
Micrococcus lylae,2
Frigoribacterium sp. VKM Ac-1396,4
Arthrobacter sp. P2b,3
Cryobacterium arcticum,2
Microbacterium sp. CIAB417,3
Clavibacter sp. VKM Ac-2873,4
Isoptericola chiayiensis,2
Mycobacteroides abscessus subsp. massiliense,4
Mycobacterium sp. URHB0044,3
Aestuariimicrobium ganziense,2
Mycobacterium sp. UM_CSW,3
Microbacterium sp. SYP-A9085,3
Kitasatospora sp. MBT63,3
Streptomyces arenae,2
Demequina sp. NBRC 110056,4
Kitasatospora cheerisanensis,2
Amycolatopsis balhimycina,2
Actinopolymorpha rutila,2
Nocardioides phosphati,2
Kocuria sp. SM24M-10,3
Streptomyces sp. ODS25,3
Actinocorallia herbida,2
Streptomyces sp. D2-8,3
Dermabacter hominis,2
Candidatus Corynebacterium intestinavium,3
Thermopolyspora flexuosa,2
Streptomyces sp. SID14478,3
Microbacterium oxydans,2
Rhodococcus kyotonensis,2
Arthrobacter sp. PM3,3
Tsukamurella sputi,2
Nocardioides sp. zg-ZUI104,3
Streptomyces sp. BSE6.1,3
Corynebacterium ciconiae,2
Streptomyces sp. Ag109_G2-15,3
Corynebacterium sp. HMSC074C01,3
Frankiaceae bacterium,2
Cutibacterium sp.,2
Cellulomonas terrae,2
Bifidobacterium callimiconis,2
Planomonospora parontospora,2
Galliscardovia ingluviei,2
Frankia sp. R43,3
Micrococcus sp. KRD077,3
Mycobacterium scrofulaceum,2
Modestobacter versicolor,2
Rhodococcus sp. HNM0563,3
Curtobacterium herbarum,2
Streptomyces sulfonofaciens,2
Micromonospora sp. MH33,3
Actinomyces succiniciruminis,2
Streptomyces brasiliensis,2
Streptomyces toxytricini,2
Streptomyces sp. NP-1717,3
Agromyces humi,2
Micrococcus luteus Mu201,3
Streptomyces sp. WAC05292,3
Actinotalea subterranea,2
Frigoribacterium sp. Leaf172,3
Rathayibacter toxicus,2
Microbacterium sp. Au-Mic1,3
Nakamurella antarctica,2
Mycobacterium aquaticum,2
Brevibacterium sp. PAMC21349,3
Microbacterium humi,2
Nocardia mikamii,2
Cellulomonas algicola,2
Cellulosimicrobium terreum,2
Streptomyces hyaluromycini,2
Spinactinospora alkalitolerans,2
Streptomyces sp. Z423-1,3
Actinomadura chibensis,2
Corynebacterium sp. NML130628,3
Nocardioides luti,2
Streptomyces sudanensis,2
Microbacterium sp. str. 'China',4
Arthrobacter sp. STN4,3
Curtobacterium sp. PhB171,3
Amycolatopsis magusensis,2
Microbacterium sp. K36,3
Streptomyces javensis,2
Rhodococcus sp. KBS0724,3
Bifidobacterium bohemicum,2
unclassified Curtobacterium,2
Streptomyces sp. JV178,3
Rhodococcus aetherivorans,2
Rhodococcus sp. 14-2470-1a,3
Streptomyces sp. NRRL F-6491,4
Yonghaparkia sp. Root332,3
Planotetraspora thailandica,2
Corynebacterium pseudotuberculosis 1/06-A,3
Cellulomonas sp. zg-ZUI188,3
Bifidobacterium jacchi,2
Frankia sp. AgB32,3
Prauserella sp. Am3,3
Micrococcus aloeverae,2
Curtobacterium sp. MCLR17_034,3
Nesterenkonia sp. NBAIMH1,3
Brooklawnia sp.,2
Nocardioides alkalitolerans,2
Mycobacterium senriense,2
Microbispora camponoti,2
Amycolatopsis acidiphila,2
Bifidobacterium lemurum,2
Aeromicrobium sp. YIM 150415,4
Streptomyces sp. A0592,3
Aeromicrobium ginsengisoli,2
Mycobacterium sp. THAF192,3
Corynebacterium timonense,2
Bifidobacterium choerinum,2
Kineosporiaceae bacterium SCSIO 59966,4
Nocardioides sp. SYSU D00065,4
Streptomyces sp. QHH-9511,3
Schaalia georgiae F0490,3
Glutamicibacter nicotianae,2
Nonomuraea solani,2
Pseudonocardia sp. H11422,3
Corynebacterium flavescens,2
Arthrobacter sp. 9AX,3
Rothia sp. AR01,3
Gordonia bronchialis,2
Mycobacteroides sp. HXXIII,3
Trueperella pyogenes TP8,3
Bifidobacteriaceae bacterium NR016,3
Streptomyces sp. SID8352,3
Microbacterium sp. VKM Ac-2923,4
Mycobacterium kansasii 732,3
Ruania zhangjianzhongii,2
Corynebacterium phocae,2
Curtobacterium sp. 1310,3
Kitasatospora kifunensis,2
Kutzneria sp. CA-103260,3
Microbacterium sp. Leaf161,3
Frankia sp. QA3,3
Actinotignum urinale,2
Microbacterium sp. ANT_H45B,3
Brevibacterium sp. ZH18,3
Nocardioides sp. dk4132,3
Promicromonospora sp. AC04,3
Demequina pelophila,2
Actinopolyspora saharensis,2
Streptomyces sp. NTH33,3
Kineosporia rhizophila,2
Blastococcus sp. LR1,3
Streptomyces flavotricini,2
Nocardia sp. MH4,3
Streptomyces sp. TML10,3
Corynebacterium argentoratense,2
Streptomyces albiflavescens,2
Propionibacteriaceae bacterium ES.041,3
Actinomadura soli,2
Mycolicibacterium murale,2
Streptomyces echinoruber,2
Herbiconiux sp. SYSU D00978,4
Demequina sediminicola,2
Serinicoccus sp. CUA-874,3
Nakamurella panacisegetis,2
Mycolicibacterium sp. CR10,3
Bifidobacterium ruminantium,2
Nocardia salmonicida,2
Modestobacter sp. L9-4,3
Nesterenkonia sp. E16_10,3
Isoptericola sp. 4D.3,3
Rhodococcus sp. 06-1460-1B,3
Microbacterium immunditiarum,2
Actinomadura sp. RB99,3
Streptomyces fulvissimus DSM 40593,4
Pseudoclavibacter sp.,2
Conyzicola nivalis,2
Streptomyces sp. AC602_WCS936,3
Mycobacterium canettii,2
Sanguibacter antarcticus,2
Microbispora oryzae,2
Herbiconiux solani,2
Curtobacterium sp. 'Ferrero',3
Corynebacterium amycolatum SK46,3
Microbacterium testaceum,2
Streptomyces sp. S-9,3
Microbacterium sp. XT11,3
Yimella lutea,2
Amycolatopsis sp. CA-128772,3
Mumia sp. zg.B53,3
Gordonia araii NBRC 100433,4
Streptomyces sp. A144,3
Cumulibacter manganitolerans,2
Streptomyces sp. WAC07149,3
Rhodococcus cavernicola,2
Streptomyces sp. NRRL S-1813,4
Nocardia rhamnosiphila,2
Corynebacterium kefirresidentii,2
Rarobacter faecitabidus,2
Actinomadura rifamycini,2
Streptoalloteichus hindustanus,2
Agromyces sp. H17E-10,3
Blastococcus sp. CT_GayMR19,3
Streptomyces epipremni,2
Arthrobacter rhizosphaerae,2
Streptomyces scopuliridis,2
Streptomyces sp. Ru72,3
Prauserella halophila,2
Phycicoccus elongatus,2
Amycolatopsis keratiniphila,2
Streptomyces sp. SID6041,3
Bifidobacterium animalis subsp. animalis ATCC 25527,6
Bifidobacterium gallicum,2
Streptomyces sp. Tue 6075,4
Mycobacterium sp. IS-2888,3
Jonesia denitrificans,2
Mycobacterium sp. GA-1841,3
Pseudonocardia sp. WMMC193,3
Micromonospora sp. KC721,3
Corynebacterium minutissimum,2
Corynebacterium pseudopelargi,2
Bifidobacterium sp. DSM 109957,4
Kutzneria kofuensis,2
Terrabacter sp. Root85,3
Nocardia elegans,2
Kocuria sp. 36,3
Microbacterium oryzae,2
Streptomyces lavendulae,2
Gordonia asplenii,2
Corynebacterium sp. HFH0082,3
Pseudonocardia bannensis,2
Nocardia flavorosea,2
Streptomyces sp. NRRL S-813,4
Micromonospora craniellae,2
Streptomyces longwoodensis,2
Pseudolysinimonas yzui,2
Agrococcus sediminis,2
Curtobacterium sp. MCLR17_058,3
Mycobacterium sp. MBM,3
Amycolatopsis sp. H6(2020),3
Winkia neuii,2
Cryobacterium sp. BB736,3
Streptomyces xiamenensis,2
Leucobacter viscericola,2
Mycolicibacterium alvei,2
Arthrobacter sp. UKPF54-2,3
Gordonia sp. i37,3
Actinoallomurus purpureus,2
Nesterenkonia sp. F,3
Propionibacterium sp. HGH0353,3
Micromonospora globosa,2
Corynebacterium lowii,2
Mycobacterium arosiense,2
Microbacterium sp. BF1,3
Streptomyces calidiresistens,2
Pseudonocardia sp. SCN 72-86,4
Nocardia acididurans,2
Streptomyces sp. f51,3
Streptomyces sp. SBT349,3
Micromonospora sp. D75,3
Streptomyces violaceochromogenes,2
Arthrobacter sp. NicSoilB4,3
Streptomyces sp. MBT62,3
Microbacterium sp. JC 701,4
Phytoactinopolyspora halotolerans,2
Rhodococcus sp. F64268,3
Actinomadura sp. KC216,3
Nocardioides dongkuii,2
Dermatophilus congolensis,2
Nocardiopsis sp. B62,3
Microbacterium halotolerans,2
Actinopolyspora xinjiangensis,2
Streptomyces sp. NR30,3
Tessaracoccus bendigoensis,2
Streptomyces fuscigenes,2
Corynebacterium kalinowskii,2
Streptomyces sp. HNM0574,3
Paeniglutamicibacter gangotriensis,2
Streptomyces sp. CME 23,4
Streptomyces sp. CBMAI 2042,4
Streptomyces sp. uw30,3
Nocardia bovistercoris,2
Streptomyces katrae,2
Actinoplanes sp. M2I2,3
Streptomyces specialis,2
Georgenia sp. SUBG003,3
Actinomadura parmotrematis,2
Streptomyces flavofungini,2
Luteimicrobium subarcticum,2
Curtobacterium sp. PhB172,3
Nocardia thailandica,2
Nocardiopsis algeriensis,2
Micromonospora zamorensis,2
Brevibacterium sp. JNUCC-42,3
Streptomyces sp. NRRL S-31,4
Amycolatopsis taiwanensis,2
Microbacterium sp. P26,3
Arsenicicoccus cauae,2
Gordonia sp. SID5947,3
Pseudonocardia sp. ICBG1034,3
Streptomyces sp. S1,3
Actinokineospora alba,2
Microbacterium flavescens,2
Streptomyces sp. DSM 110735,4
Marmoricola aurantiacus,2
Streptomyces sp. B93,3
Kocuria carniphila,2
Mycolicibacterium baixiangningiae,2
Kribbia dieselivorans,2
Nocardioides kribbensis,2
Saccharothrix texasensis,2
Leucobacter coleopterorum,2
Pseudonocardia oceani,2
Nocardiopsis prasina,2
Cutibacterium granulosum DSM 20700,4
Gordonia iterans,2
Tsukamurella ocularis,2
Mycobacterium shimoidei,2
Glycomyces salinus,2
Arcanobacterium ihumii,2
Actinomadura rubteroloni,2
Bifidobacterium indicum,2
Bifidobacterium pseudolongum,2
Streptomyces sp. 6-11-2,3
Micromonospora cremea,2
Streptomyces sp. WM6378,3
Arthrobacter alkaliphilus,2
Actinomyces sp. zg-332,3
Cutibacterium acnes PRP-38,3
Nonomuraea sp. KC401,3
Pimelobacter sp.,2
Cellulomonas bogoriensis,2
Mycobacterium parmense,2
Frankia sp. CiP3,3
Amycolatopsis deserti,2
Hoyosella altamirensis,2
Verrucosispora sp. ts21,3
Streptomyces xylophagus,2
Microbacterium flavum,2
Herbiconiux flava,2
Arthrobacter sp. RT-1,3
Streptomyces toyocaensis,2
Leucobacter sp. CX169,3
Streptomyces capillispiralis,2
Pseudonocardia sp. Ae331_Ps2,3
Streptomyces alkaliphilus,2
Streptomyces sp. RCU064,3
Streptomyces sp. SPB78,3
Micromonospora rifamycinica,2
Actinomadura rupiterrae,2
Geodermatophilus daqingensis,2
Bifidobacterium pluvialisilvae,2
Mycobacteriaceae bacterium,2
Actinomyces oricola,2
Streptomyces sp. PanSC9,3
Streptomyces sp. JJ66,3
Streptomyces sp. f150,3
Streptomyces sp. SID7810,3
Streptomyces griseoruber,2
Georgenia satyanarayanai,2
Streptomyces purpurogeneiscleroticus,2
Streptomyces sp. TLI_55,3
Allobranchiibius sp. GilTou38,3
Streptomyces chryseus,2
Microcella putealis,2
Boudabousia tangfeifanii,2
Nonomuraea basaltis,2
Mycolicibacterium thermoresistibile,2
Streptomyces sp. DI166,3
Gordonia sp. PP30,3
Streptomyces sp. PvR006,3
Corynebacterium sp. LK30,3
Schaalia sp. 19OD2882,3
Nocardia fluminea,2
Frankia inefficax,2
Rhodococcus maanshanensis,2
Sphaerisporangium sp. NEAU-ZS1,3
Actinomadura coerulea,2
Pedococcus badiiscoriae,2
Schaalia cardiffensis F0333,3
Nonomuraea sp. NEAU-A123,3
Leucobacter sp. wl10,3
Mycolicibacterium vanbaalenii,2
Streptomyces sp. KPB2,3
Actinomycetospora soli,2
Mycobacterium basiliense,2
Mycobacterium sp. Root265,3
Agromyces fucosus,2
Agrococcus casei LMG 22410,4
Dermacoccus sp. Ellin185,3
Mycolicibacter icosiumassiliensis,2
Bifidobacterium biavatii DSM 23969,4
Kineococcus radiotolerans,2
Mycobacterium avium 10-5560,3
Mycobacterium sp. PSTR-4-N,3
Bifidobacterium pseudocatenulatum,2
Tessaracoccus sp. J1M15,3
Streptomyces sp. CB01883,3
Micromonospora sp. TP-A0468,3
Nonomuraea deserti,2
Corynebacterium sp. ACRPF,3
Micrococcus sp. KRD096,3
Streptomyces sp. NRRL S-146,4
Streptomyces roseirectus,2
Phycicoccus endophyticus,2
Nocardioides sp. JQ2195,3
Cellulomonas fimi,2
Streptomyces varsoviensis,2
Bowdeniella nasicola,2
Actinosynnema pretiosum,2
Streptomyces nigra,2
Curtobacterium citreum,2
Streptomyces sp. SID11726,3
Streptomyces sp. sk2.1,3
Cryobacterium sp. RHLT2-21,3
Granulicoccus phenolivorans,2
Saccharothrix australiensis,2
Streptomyces hoynatensis,2
Mycolicibacterium brumae,2
Rhodococcus sp. CX,3
Amnibacterium flavum,2
Cutibacterium avidum TM16,3
Plantibacter sp. VKM Ac-2880,4
Compostimonas suwonensis,2
Propionibacterium sp. CC003-HC2,3
Streptomyces sp. SID4985,3
Streptomyces sp. WAC 05977,4
Streptomyces sp. WMMB 322,4
Streptomyces sp. CS090A,3
unclassified Tessaracoccus,2
Actinospica robiniae,2
Streptomyces sp. RKAG293,3
Arthrobacter sp. MN05-02,3
Glaciibacter flavus,2
Mycobacteroides chelonae,2
Corynebacterium sp. HMSC072B08,3
Buchananella hordeovulneris,2
Arthrobacter sp. FW306-2-2C-D06B,3
Leucobacter chromiireducens,2
Micrococcus sp. KRD153,3
Gordonia sp. HS-NH1,3
Bifidobacterium animalis subsp. animalis,4
Canibacter sp. ZJ955,3
Streptomyces sp. RK74B,3
Streptomyces sp. AcE210,3
Crossiella sp. SN42,3
Micromonospora sp. MH99,3
Streptomyces sp. NRRL F-525,4
Amycolatopsis sp. YIM 10,4
Rhodococcus sp. BP-241,3
Tetrasphaera sp. HKS02,3
Mycolicibacterium madagascariense,2
Streptomyces sp. Tue 6430,4
Streptomyces nashvillensis,2
Gordonia sp. TSed Te1,4
Micrococcus sp. HSID17245,3
Nocardioides seonyuensis,2
Gordonia sp. LAM0048,3
Corynebacterium provencense,2
Microbacterium sp. NC79,3
Nocardia violaceofusca,2
Microbacterium liquefaciens,2
Bifidobacterium dentium Bd1,3
Corynebacterium bouchesdurhonense,2
Leucobacter sp. G161,3
Amycolatopsis sp. CB00013,3
Frigoribacterium sp. Leaf263,3
Streptomyces zagrosensis,2
Streptomyces sp. NBRC 110028,4
Allobranchiibius sp. CTAmp26,3
Planobispora siamensis,2
Streptomyces sp. KS 21,4
Frankia soli,2
Mycolicibacterium obuense,2
Sphaerisporangium siamense,2
Ruaniaceae bacterium KH17,3
Paenarthrobacter sp. CM16,3
Actinopolyspora sp. BKK1,3
Mycobacterium sp. 283mftsu,3
Mycobacterium sp. IS-1264,3
Bifidobacterium phasiani,2
Streptomyces sp. NRRL S-340,4
Streptomyces niveus NCIMB 11891,4
Corynebacterium alimapuense,2
Streptomyces yunnanensis,2
Sanguibacter inulinus,2
Streptomyces colonosanans,2
Streptomyces mangrovisoli,2
Quadrisphaera sp. DSM 44207,4
Psychromicrobium lacuslunae,2
Nocardia yamanashiensis,2
Cellulomonas rhizosphaerae,2
Klenkia terrae,2
Amycolatopsis granulosa,2
Pseudarthrobacter equi,2
Demequina aestuarii,2
Pseudarthrobacter phenanthrenivorans,2
Kribbella sp. VKM Ac-2573,4
Frigoribacterium sp. PhB118,3
Streptomyces sp. CNZ748,3
Microbacterium sediminis,2
Streptomyces sp. RT42,3
Sciscionella sp. SE31,3
Actinokineospora fastidiosa,2
Streptomyces sp. MTZ3.1,3
Streptomyces sp. NRRL B-3229,4
Corynebacterium lipophiloflavum,2
Saccharomonospora cyanea NA-134,3
Mycobacterium sp. IS-3022,3
Streptomyces chromofuscus,2
Dietzia cinnamea,2
Amycolatopsis sp. OK19-0408,3
Nocardiopsis composta,2
Micrococcus sp. KD337-16,3
Streptomyces luteolifulvus,2
Streptomyces spongiicola,2
Streptomyces sp. MP131-18,3
Arthrobacter wenxiniae,2
Streptomyces mutabilis,2
Frankia sp. R82,3
Nesterenkonia cremea,2
Actinotalea sp. BY-33,3
Arthrobacter oryzae,2
Streptomyces bikiniensis,2
Nocardia altamirensis,2
Terrabacter sp. Soil811,3
Microbispora corallina,2
Arthrobacter sp. ISL-69,3
Aeromicrobium tamlense,2
Mycobacteroides franklinii,2
Nesterenkonia lacusekhoensis,2
Micromonospora tulbaghiae,2
Rhodococcus sp. DMU1,3
Corynebacterium sp. 11A,3
Nocardioides sp. SYSU D00514,4
Cryobacterium sp. Y50,3
Lentzea jiangxiensis,2
Thermocrispum municipale,2
Pseudonocardia kujensis,2
Streptomyces sp. ISL-10,3
Streptomyces sp. CB01881,3
Arthrobacter sp. ES1,3
Actinoallomurus spadix,2
Streptomyces scabiei 87.22,3
Marinitenerispora sediminis,2
Nocardioides daedukensis,2
Brevibacterium yomogidense,2
Microbacterium sp. Leaf159,3
Amycolatopsis acidicola,2
Amycolatopsis pittospori,2
Streptomyces sp. SLBN-31,3
Streptomyces sp. MK37H,3
Helcobacillus sp. ACRRO,3
Mycobacterium sp. 852002-51057_SCH5723018,3
Mycolicibacter arupensis,2
Frankia sp. EI5c,3
Mycobacterium tilburgii,2
Klenkia sp. PcliD-1-E,3
Streptomyces sp. GbtcB6,3
Agrococcus baldri,2
Skermania piniformis,2
Micromonospora profundi,2
Actinomadura sp. BRA 177,4
Corynebacterium sp. ED61,3
Streptomyces verrucosisporus,2
Agreia sp. Leaf210,3
Gordonia malaquae,2
Pseudonocardia asaccharolytica DSM 44247 = NBRC 16224,7
Corynebacterium suranareeae,2
Mycobacterium sp. ST-F2,3
Amycolatopsis umgeniensis,2
Curtobacterium sp. MCPF17_047,3
Rhodococcus sp. 05-340-2,3
Rothia nasimurium,2
Streptomyces sp. DSM 40750,4
Aeromicrobium camelliae,2
Georgenia ruanii,2
Enemella dayhoffiae,2
Amycolatopsis sp. GM8,3
Bifidobacterium simiarum,2
Lentzea flava,2
Verrucosispora sp. NA02020,3
Nocardia tenerifensis,2
Streptomyces orinoci,2
Corynebacterium macginleyi,2
