"Sequence",0,1,2
"83262_Mycobacteroides_immunogenum-Mycobacteroides",-5.648635,-9.319654,-16.946817
"1578165_Mycobacteroides_saopaulense-Mycobacteroides",-5.644436,-9.404856,-16.758615
"1069221_Mycolicibacillus_parakoreensis-Mycolicibacillus",-3.8178577,-2.7987487,-2.9823494
"29314_Mycolicibacter_hiberniae-Mycolicibacter",-4.2589097,-6.5749555,-2.5009518
"1118379_Mycolicibacter_minnesotensis-Mycolicibacter",-3.8591783,-6.7688437,-1.4627534
"1788_Mycolicibacter_terrae-Mycolicibacter",-5.9527354,-17.360344,3.294582
"1799_Mycolicibacterium_aichiense-Mycolicibacterium",-6.02929,-17.788202,7.880468
"67081_Mycolicibacterium_alvei-Mycolicibacterium",-7.3871317,7.383438,-1.914137
"1431246_Mycolicibacterium_anyangense-Mycolicibacterium",0.50602067,-2.5200317,-1.4066341
"1286181_Mycolicibacterium_arabiense-Mycolicibacterium",-6.5457354,6.542745,-1.8397785
"2761578_Mycolicibacterium_baixiangningiae-Mycolicibacterium",-6.5405807,6.6551456,4.801761
"146017_Mycolicibacterium_boenickei-Mycolicibacterium",-7.411741,7.680966,-1.5505227
"85968_Mycolicibacterium_brumae-Mycolicibacterium",-3.373133,-4.948597,-6.031664
"1249101_Mycolicibacterium_celeriflavum-Mycolicibacterium",-8.19865,-9.880877,6.7203126
"1792_Mycolicibacterium_chitae-Mycolicibacterium",-1.6045232,-4.0091186,-1.4075282
"1800_Mycolicibacterium_chubuense-Mycolicibacterium",-8.009305,8.352107,5.093995
"28047_Mycolicibacterium_confluentis-Mycolicibacterium",-4.309081,-2.3069208,-1.5693108
"39688_Mycolicibacterium_duvalii-Mycolicibacterium",-6.999264,7.0498457,4.0060325
"1793_Mycolicibacterium_fallax-Mycolicibacterium",-4.924291,-3.5371888,-7.378462
"1766_Mycolicibacterium_fortuitum-Mycolicibacterium",-7.4958735,7.1766853,-2.046598
"1794_Mycolicibacterium_gadium-Mycolicibacterium",-6.5912457,7.130198,-0.89892054
"1534349_Mycolicibacterium_helvum-Mycolicibacterium",-5.8125668,-17.405033,4.19413
"444597_Mycolicibacterium_insubricum-Mycolicibacterium",-5.1953726,-3.1534438,-7.9052067
"758802_Mycolicibacterium_litorale-Mycolicibacterium",-6.916792,7.418585,5.3637905
"53462_Mycolicibacterium_mageritense-Mycolicibacterium",-7.3194265,7.147606,-0.24334376
"2736649_Mycolicibacterium_mengxianglii-Mycolicibacterium",-7.289481,-15.165426,7.014885
"85693_Mycolicibacterium_monacense-Mycolicibacterium",-7.0544696,6.763236,4.769762
"39691_Mycolicibacterium_moriokaense-Mycolicibacterium",-6.506006,6.3534455,-0.6839372
"56689_Mycolicibacterium_mucogenicum-Mycolicibacterium",-7.6087475,6.6364822,-1.4969916
"1795_Mycolicibacterium_neoaurum-Mycolicibacterium",-7.1912036,6.4328218,-0.1805095
"39692_Mycolicibacterium_parafortuitum-Mycolicibacterium",-7.8101597,8.249593,5.0634813
"1771_Mycolicibacterium_phlei-Mycolicibacterium",-8.089049,-8.792694,12.059662
"216929_Mycolicibacterium_psychrotolerans-Mycolicibacterium",-7.526929,8.140259,5.9688916
"36813_Mycolicibacterium_pulveris-Mycolicibacterium",-6.7359023,7.770626,4.253145
"36814_Mycolicibacterium_rhodesiae-Mycolicibacterium",-6.6460543,7.0701914,-0.8243531
"1534348_Mycolicibacterium_sarraceniae-Mycolicibacterium",-5.8453956,-16.913332,8.771856
"1286180_Mycolicibacterium_sediminis-Mycolicibacterium",-6.82872,6.015081,-1.4055219
"1810_Mycolicibacterium_vaccae-Mycolicibacterium",-7.025953,8.473393,4.393231
"319706_Mycolicibacterium_phocaicum-Mycolicibacterium",-7.517763,6.509275,-1.6804818
"1962118_Mycobacteroides_abscessus-Mycobacteroides",-5.5375667,-8.920616,-16.462234
"2775496_Mycobacterium_senriense-Mycobacterium",7.001285,-0.10385706,11.3036785
"78331_Mycobacterium_canettii-Mycobacterium",7.8345895,1.3942595,-6.3594804
"110539_Mycolicibacterium_vanbaalenii-Mycolicibacterium",-7.8427086,8.490071,5.9076514
"1774_Mycobacteroides_chelonae-Mycobacteroides",-5.7557683,-9.4004135,-13.225868
"1138383_Mycobacterium_paraintracellulare-Mycobacterium",6.9875197,-0.062214036,11.142298
"443149_Mycobacterium_tuberculosis-Mycobacterium",7.8467875,1.4126477,-6.3966146
"557599_Mycobacterium_kansasii-Mycobacterium",8.009578,0.5868785,-7.8184185
"1136880_Mycobacterium_pseudoshottsii-Mycobacterium",7.5478888,0.7484424,-8.79541
"1185650_Mycobacteroides_abscessus-Mycobacteroides",-5.6161427,-9.024145,-16.755972
"83332_Mycobacterium_tuberculosis-Mycobacterium",7.8345895,1.3942595,-6.3594804
"1773_Mycobacterium_tuberculosis-Mycobacterium",7.8345895,1.3942595,-6.3594804
"64667_Mycobacterium_lepraemurium-Mycobacterium",1.7839326,-4.294756,10.354564
"319705_Mycobacteroides_abscessus-Mycobacteroides",-5.5375667,-8.920616,-16.462234
"2492438_Mycobacterium_novum-Mycobacterium",-6.3725524,-17.008383,5.612663
"482462_Mycobacterium_dioxanotrophicus-Mycobacterium",-7.467653,7.1575522,-1.0822302
"875328_Mycolicibacter_sinensis-Mycolicibacter",-6.3725524,-17.008383,5.612663
"1091501_Mycobacterium_tuberculosis-Mycobacterium",7.8345895,1.3942595,-6.3594804
"1765_Mycobacterium_tuberculosis-Mycobacterium",7.8345895,1.3942595,-6.3594804
"261524_Mycobacterium_liflandii-Mycobacterium",7.394398,0.7000492,-8.745549
"133549_Mycobacterium_shottsii-Mycobacterium",7.339949,0.36675736,-9.088474
"350054_Mycolicibacterium_gilvum-Mycolicibacterium",-7.8176203,7.976146,5.2875595
"443218_Hoyosella_subflava-Hoyosella",-6.7191496,-4.9364057,-10.702445
"39694_Mycolicibacterium_poriferae-Mycolicibacterium",-7.481886,8.560377,5.3214746
"1804_Mycolicibacterium_gilvum-Mycolicibacterium",-7.8176203,7.976146,5.2875595
"33892_Mycobacterium_tuberculosis-Mycobacterium",7.8345895,1.3942595,-6.3594804
"77643_Mycobacterium_tuberculosis-Mycobacterium",7.8345895,1.3942595,-6.3594804
"265949_Mycobacterium_pseudoshottsii-Mycobacterium",7.5478888,0.7484424,-8.79541
"1389713_Mycobacterium_paragordonae-Mycobacterium",7.489729,1.097162,-5.4437413
"1770_Mycobacterium_avium-Mycobacterium",7.40427,0.11821507,12.172668
"1305738_Mycobacterium_orygis-Mycobacterium",7.8474293,1.4130082,-6.400013
"1138382_Mycobacterium_intracellulare-Mycobacterium",1.4438353,-4.37619,9.512092
"1764_Mycobacterium_avium-Mycobacterium",7.40427,0.11821507,12.172668
"318424_Mycobacterium_rufum-Mycobacterium",-7.28084,8.578346,5.2352996
"1809_Mycobacterium_ulcerans-Mycobacterium",7.536576,0.73210543,-8.748972
"1781_Mycobacterium_marinum-Mycobacterium",7.536576,0.73210543,-8.748972
"998092_Mycobacterium_tuberculosis-Mycobacterium",7.2310224,-0.64340484,-5.304705
"388459_Mycobacterium_crocinum-Mycobacterium",-6.053289,-17.441282,8.62967
"39695_Mycolicibacterium_tokaiense-Mycolicibacterium",0.60799605,-1.6462091,-0.39341947
"53378_Mycobacterium_paraffinicum-Mycobacterium",7.6329722,-0.34090805,9.70201
"1908205_Mycobacterium_syngnathidarum-Mycobacterium",-7.7219033,7.069025,-2.4042287
"47839_Mycobacterium_triplex-Mycobacterium",6.7637706,-0.3383001,9.0955715
"1487726_Mycobacterium_persicum-Mycobacterium",8.073187,1.3699843,-2.7418487
"1299326_Mycobacterium_kansasii-Mycobacterium",7.9578595,0.497363,-7.720805
"258533_Mycolicibacterium_cosmeticum-Mycolicibacterium",-6.890911,5.399419,-3.1012285
"1122247_Mycolicibacterium_hassiacum-Mycolicibacterium",-6.270982,7.1694574,-1.1062626
"228230_Mycolicibacterium_canariasense-Mycolicibacterium",-6.8614445,5.190605,-2.7532663
"117567_Mycobacterium_frederiksbergense-Mycobacterium",-6.684674,6.005727,-3.3850212
"28445_Mycobacterium_intermedium-Mycobacterium",7.7101665,1.0615609,-8.339456
"1305739_Mycobacterium_orygis-Mycobacterium",7.8474293,1.4130082,-6.400013
"627089_Mycobacterium_simulans-Mycobacterium",8.004866,1.4105493,-1.5325344
"2162698_Mycobacterium_uberis-Mycobacterium",6.144373,-1.8175099,-2.1748056
"2048551_Mycobacterium_neumannii-Mycobacterium",-7.3944793,7.4786053,4.764423
"2341080_Mycobacterium_pseudokansasii-Mycobacterium",8.042915,1.2998625,-3.5698786
"1790_Mycobacterium_asiaticum-Mycobacterium",7.8394785,1.4352056,-5.235207
"2592811_Mycobacterium_helveticum-Mycobacterium",5.905237,-0.017056737,6.2340403
"1150599_Mycolicibacterium_phlei-Mycolicibacterium",-8.089049,-8.792694,12.059662
"1335619_Mycolicibacterium_brumae-Mycolicibacterium",-3.373133,-4.948597,-6.031664
"659824_Mycolicibacterium_hippocampi-Mycolicibacterium",-7.5514116,7.2941675,2.923348
"1783_Mycobacterium_scrofulaceum-Mycobacterium",7.7652903,-0.6720093,9.23679
"1927124_Mycobacterium_aquaticum-Mycobacterium",-7.467653,7.1575522,-1.0822302
"182220_Mycolicibacterium_murale-Mycolicibacterium",-5.900273,-14.323304,7.7383056
"425468_Mycobacterium_arosiense-Mycobacterium",7.269361,0.07866843,11.663159
"324058_Mycobacterium_alsense-Mycobacterium",6.2667437,0.36022803,9.108634
"84962_Mycobacterium_botniense-Mycobacterium",3.8628643,-4.3280067,-6.859076
"616997_Hoyosella_altamirensis-Hoyosella",-7.668417,-14.300988,-3.4939487
"1841859_Mycobacterium_terramassiliense-Mycobacterium",7.4285717,0.36018655,6.9452443
"37916_Mycolicibacterium_chlorophenolicum-Mycolicibacterium",-7.3342075,8.453012,5.8741684
"39687_Mycolicibacterium_austroafricanum-Mycolicibacterium",-7.645724,8.64491,5.85066
"1334059_Mycobacterium_tuberculosis-Mycobacterium",7.8345895,1.3942595,-6.3594804
"2487344_Mycolicibacterium_nivoides-Mycolicibacterium",-7.411741,7.680966,-1.5505227
"2094119_Mycobacterium_basiliense-Mycobacterium",7.0427947,1.4703944,-6.0612154
"188915_Mycolicibacter_engbaekii-Mycolicibacter",-6.637796,-16.157364,4.8263936
"912594_Mycolicibacterium_iranicum-Mycolicibacterium",-7.500912,7.860966,5.6817117
"2895283_Mycolicibacterium_lacusdiani-Mycolicibacterium",-6.414529,6.5501466,-2.0225706
"948102_Mycobacteroides_franklinii-Mycobacteroides",-5.7557683,-9.4004135,-13.225868
"354243_Mycolicibacter_kumamotonensis-Mycolicibacter",-5.703165,-17.272684,3.428165
"1798_Mycolicibacillus_trivialis-Mycolicibacillus",-3.7024844,-1.4903752,0.5694999
"2605429_Hoyosella_suaedae-Hoyosella",-5.834698,-4.4757485,-11.9916725
"243061_Mycobacterium_sherrisii-Mycobacterium",6.866141,-0.87106895,6.090952
"1791_Mycolicibacterium_aurum-Mycolicibacterium",-7.676359,7.5635204,6.0645757
"1229516_Mycobacterium_marinum-Mycobacterium",7.4575944,0.3524553,-8.998412
"701043_Mycobacterium_timonense-Mycobacterium",7.4757314,0.33793348,12.580919
"525368_Mycobacterium_parascrofulaceum-Mycobacterium",8.043182,0.7798646,8.512363
"1335420_Mycobacterium_avium-Mycobacterium",7.40427,0.11821507,12.172668
"1430326_Mycobacterium_decipiens-Mycobacterium",7.3340745,0.2844132,-8.014755
"537210_Mycobacterium_tuberculosis-Mycobacterium",7.8345895,1.3942595,-6.3594804
"1108812_Mycolicibacter_longobardus-Mycolicibacter",-6.4147434,-16.981659,4.766913
"564198_Mycolicibacterium_bacteremicum-Mycolicibacterium",-6.972445,5.5311327,-5.478187
"2048550_Mycobacterium_lehmannii-Mycobacterium",-7.4677596,7.8351316,4.760816
"1776_Mycolicibacterium_flavescens-Mycolicibacterium",-8.430827,-9.260316,11.521879
"761804_Mycobacterium_europaeum-Mycobacterium",7.605276,-0.60299987,4.5882177
"46351_Mycolicibacterium_hassiacum-Mycolicibacterium",-6.270982,7.1694574,-1.1062626
"2034511_Mycobacterium_palauense-Mycobacterium",-3.0505764,-2.5495455,-4.421127
"386913_Mycolicibacter_senuensis-Mycolicibacter",-5.708505,-17.162392,3.6207259
"2341083_Mycobacterium_innocens-Mycobacterium",7.78887,1.3704703,-3.4741633
"146020_Mycolicibacterium_brisbanense-Mycolicibacterium",-7.4234166,7.1394444,-0.6632565
"2954114_Candidatus_Mycolicibacterium-Mycolicibacterium",-5.8956704,-15.959102,4.7421923
"2736928_Mycolicibacterium_vinylchloridicum-Mycolicibacterium",-5.8817873,-17.318449,3.7622187
"1236609_Mycobacterium_bohemicum-Mycobacterium",6.4733653,1.4571879,5.317252
"2212479_Mycobacterium_kyogaense-Mycobacterium",-7.497795,8.652965,4.883447
"1260918_Mycobacterium_fragae-Mycobacterium",4.4522567,-2.786622,-6.4920774
"28045_Mycobacterium_celatum-Mycobacterium",4.887272,1.9739617,-8.603271
"1841860_Mycobacterium_rhizamassiliense-Mycobacterium",7.6557865,-0.3245578,5.857152
"1335421_Mycobacterium_intracellulare-Mycobacterium",6.9875197,-0.062214036,11.142298
"1641992_Mycolicibacterium_lutetiense-Mycolicibacterium",-7.1770334,7.562249,-1.3439959
"56425_Mycobacterium_bohemicum-Mycobacterium",6.4733653,1.4571879,5.317252
"1787_Mycobacterium_szulgai-Mycobacterium",7.482448,1.3636365,-0.80297756
"1448794_Mycobacterium_tuberculosis-Mycobacterium",7.8345895,1.3942595,-6.3594804
"36812_Mycobacterium_genavense-Mycobacterium",6.5616393,0.012811198,6.1385703
"98668_Mycolicibacterium_septicum-Mycolicibacterium",-7.295967,7.4539366,-1.5868893
"723879_Mycolicibacter_algericus-Mycolicibacter",-6.3725524,-17.008383,5.612663
"154654_Mycobacterium_montefiorense-Mycobacterium",6.7345357,0.36632854,8.231311
"1841861_Mycobacterium_numidiamassiliense-Mycobacterium",7.545527,0.42644572,2.5473123
"470074_Mycobacterium_angelicum-Mycobacterium",7.4971,1.3755019,1.314856
"486698_Mycobacterium_riyadhense-Mycobacterium",7.4988885,2.5438654,-6.032737
"1273442_Mycobacterium_bourgelatii-Mycobacterium",7.62985,1.5035874,-7.552323
"153971_Mycobacterium_palustre-Mycobacterium",6.9715953,0.7766004,1.9511951
"2835306_Mycolicibacter_acidiphilus-Mycolicibacterium",-6.6773815,-15.764721,3.5107918
"75922_Mycolicibacterium_tusciae-Mycolicibacterium",-6.698034,7.1437516,0.1397588
"431269_Mycolicibacterium_setense-Mycolicibacterium",-7.4542246,6.995577,-4.1656218
"43304_Mycolicibacterium_peregrinum-Mycolicibacterium",-7.631509,7.0843854,-1.4755508
"81858_Mycolicibacterium_elephantis-Mycolicibacterium",-6.5578847,7.3923364,0.27996966
"36811_Mycolicibacterium_agri-Mycolicibacterium",-5.3984,3.4046166,-1.1229557
"487514_Mycobacterium_kyorinense-Mycobacterium",2.1807783,-4.4503713,-7.085304
"2358193_Mycolicibacterium_stellerae-Mycolicibacterium",-5.622639,3.1539545,-1.0857921
"2742202_Hoyosella_lacisalsi-Hoyosella",-6.1507463,-4.2953243,-12.140288
"242737_Mycobacterium_neglectum-Mycobacterium",-6.721735,7.8088403,0.18203773
"280871_Mycolicibacterium_llatzerense-Mycolicibacterium",-7.557273,6.8880105,-1.7567092
"1335422_Mycobacterium_intracellulare-Mycobacterium",6.996902,-0.04212896,11.185692
"1150591_Mycobacterium_xenopi-Mycobacterium",3.9627306,-1.6622413,-5.4663224
"520141_Mycobacterium_tuberculosis-Mycobacterium",7.8467875,1.4126477,-6.3966146
"1566885_Mycolicibacterium_komanii-Mycolicibacterium",-7.52982,7.6651,4.142951
"1858794_Mycobacterium_talmoniae-Mycobacterium",-5.275821,-4.74896,-3.5002828
"2341086_Mycobacterium_attenuatum-Mycobacterium",7.8705626,0.8950985,-2.9383688
